        1000  -3.0000000    
  0.20192003      0.30628675       34.414761    
  0.19349408      0.31665552       34.445347    
  0.18506789      0.32699054       34.475349    
  0.17664170      0.33729026       34.504772    
  0.16821575      0.34755737       34.533630    
  0.15978956      0.35779136       34.561935    
  0.15136361      0.36799169       34.589695    
  0.14293742      0.37816256       34.616924    
  0.13451123      0.38830048       34.643627    
  0.12608528      0.39840934       34.669819    
  0.11765909      0.40848750       34.695507    
  0.10923290      0.41853562       34.720699    
  0.10080695      0.42855418       34.745407    
  9.23807621E-02  0.43854761       34.769646    
  8.39545727E-02  0.44851080       34.793415    
  7.55286217E-02  0.45844728       34.816727    
  6.71024323E-02  0.46835658       34.839592    
  5.86762428E-02  0.47823906       34.862015    
  5.02502918E-02  0.48809716       34.884010    
  4.18241024E-02  0.49792963       34.905582    
  3.33979130E-02  0.50773603       34.926739    
  2.49719620E-02  0.51751965       34.947491    
  1.65457726E-02  0.52727908       34.967842    
  8.11958313E-03  0.53701556       34.987804    
 -3.06367874E-04  0.54672682       35.007381    
 -8.73255730E-03  0.55641603       35.026581    
 -1.71585083E-02  0.56608433       35.045414    
 -2.55846977E-02  0.57572961       35.063885    
 -3.40108871E-02  0.58535457       35.082001    
 -4.24368382E-02  0.59495854       35.099770    
 -5.08630276E-02  0.60454118       35.117195    
 -5.92892170E-02  0.61410272       35.134285    
 -6.77151680E-02  0.62364495       35.151047    
 -7.61413574E-02  0.63316864       35.167488    
 -8.45675468E-02  0.64267206       35.183613    
 -9.29934978E-02  0.65215749       35.199429    
 -0.10141969      0.66162384       35.214939    
 -0.10984588      0.67107230       35.230152    
