#       RADIUS         OMEGA_H            NU_H         SIGMA_D          VC_TOT            VC_B            NU_B      PSIMAJ_TOT           PSI''
#
  0.91999996      0.82009369      0.89775270      0.23840371       2.1594102       0.0000000       0.0000000      -26.387388      -5.4584103    
  0.93000001      0.81437469      0.89192098      0.23755892       2.1596045       0.0000000       0.0000000      -26.337240      -5.3618493    
  0.94000000      0.80873829      0.88617218      0.23671710       2.1595502       0.0000000       0.0000000      -26.287092      -5.2652884    
  0.94999999      0.80321807      0.88005668      0.23587829       2.1596608       0.0000000       0.0000000      -26.238005      -5.1739039    
  0.95999998      0.79777598      0.87450677      0.23504244       2.1595318       0.0000000       0.0000000      -26.188915      -5.0825195    
  0.96999997      0.79244483      0.86906499      0.23420957       2.1595643       0.0000000       0.0000000      -26.140837      -4.9954171    
  0.97999996      0.78718740      0.86369741      0.23337963       2.1593654       0.0000000       0.0000000      -26.092760      -4.9083147    
  0.98999995      0.78203470      0.85843205      0.23255265       2.1593249       0.0000000       0.0000000      -26.045670      -4.8254914    
   1.0000000      0.77695191      0.85323703      0.23172857       2.1590610       0.0000000       0.0000000      -25.998573      -4.7426691    
   1.0100000      0.77196926      0.84813982      0.23090743       2.1589491       0.0000000       0.0000000      -25.952429      -4.6651878    
   1.0200000      0.76705289      0.84310943      0.23008920       2.1586215       0.0000000       0.0000000      -25.906277      -4.5877070    
   1.0300000      0.76223099      0.83817142      0.22927387       2.1584320       0.0000000       0.0000000      -25.861052      -4.5141964    
   1.0400000      0.75747198      0.83329690      0.22846144       2.1580331       0.0000000       0.0000000      -25.815826      -4.4406853    
   1.0500000      0.75280362      0.82851118      0.22765188       2.1577847       0.0000000       0.0000000      -25.771484      -4.3676043    
   1.0599999      0.74819505      0.82378590      0.22684518       2.1573339       0.0000000       0.0000000      -25.727144      -4.2945232    
   1.0699999      0.74367213      0.81914449      0.22604133       2.1570382       0.0000000       0.0000000      -25.683666      -4.2238688    
   1.0799999      0.73920602      0.81456065      0.22524035       2.1565471       0.0000000       0.0000000      -25.640188      -4.1532145    
   1.0900000      0.73482221      0.81005740      0.22444220       2.1562088       0.0000000       0.0000000      -25.597538      -4.0857692    
   1.1000000      0.73049253      0.80560911      0.22364688       2.1556807       0.0000000       0.0000000      -25.554886      -4.0183239    
   1.1100000      0.72624087      0.80085081      0.22285438       2.1553013       0.0000000       0.0000000      -25.513039      -3.9545310    
   1.1200000      0.72204077      0.79691797      0.22206467       2.1547382       0.0000000       0.0000000      -25.471191      -3.8907382    
   1.1300000      0.71791536      0.79229492      0.22127779       2.1543155       0.0000000       0.0000000      -25.430120      -3.8311408    
   1.1400000      0.71383905      0.78847575      0.22049367       2.1537149       0.0000000       0.0000000      -25.389051      -3.7715435    
   1.1500000      0.70983440      0.78435010      0.21971235       2.1532466       0.0000000       0.0000000      -25.348736      -3.7144258    
   1.1600000      0.70587671      0.77990878      0.21893378       2.1526058       0.0000000       0.0000000      -25.308418      -3.6573081    
   1.1700000      0.70198691      0.77590191      0.21815798       2.1521022       0.0000000       0.0000000      -25.268829      -3.5999756    
   1.1799999      0.69814181      0.77158570      0.21738495       2.1514311       0.0000000       0.0000000      -25.229252      -3.5426433    
   1.1899999      0.69436234      0.76804382      0.21661462       2.1509058       0.0000000       0.0000000      -25.190374      -3.4871752    
   1.1999999      0.69062561      0.76419055      0.21584705       2.1502185       0.0000000       0.0000000      -25.151499      -3.4317076    
   1.2099999      0.68695134      0.76039869      0.21508218       2.1496725       0.0000000       0.0000000      -25.113312      -3.3791409    
   1.2200000      0.68331802      0.75698721      0.21432002       2.1489692       0.0000000       0.0000000      -25.075119      -3.3265743    
   1.2300000      0.67974442      0.75295728      0.21356057       2.1484008       0.0000000       0.0000000      -25.037596      -3.2769630    
