#       RADIUS         OMEGA_H            NU_H         SIGMA_D          VC_TOT            VC_B            NU_B      PSIMAJ_TOT           PSI''
#
   1.2800000      0.66256058      0.73518747      0.20980348       2.1449652       0.0000000       0.0000000      -24.853792      -3.0433090    
   1.2900000      0.65926516      0.73177445      0.20906001       2.1443329       0.0000000       0.0000000      -24.818153      -2.9974682    
   1.3000000      0.65600431      0.72808701      0.20831923       2.1435604       0.0000000       0.0000000      -24.782503      -2.9516280    
   1.3099999      0.65279442      0.72506958      0.20758104       2.1429214       0.0000000       0.0000000      -24.747454      -2.9080400    
   1.3199999      0.64961767      0.72147292      0.20684546       2.1421463       0.0000000       0.0000000      -24.712400      -2.8644524    
   1.3299999      0.64648956      0.71853101      0.20611249       2.1414986       0.0000000       0.0000000      -24.677925      -2.8231514    
   1.3399999      0.64339328      0.71502137      0.20538212       2.1407189       0.0000000       0.0000000      -24.643444      -2.7818506    
   1.3500000      0.64034367      0.71185797      0.20465434       2.1400616       0.0000000       0.0000000      -24.609522      -2.7424042    
   1.3600000      0.63732469      0.70872611      0.20392914       2.1392760       0.0000000       0.0000000      -24.575594      -2.7029579    
   1.3700000      0.63435102      0.70563883      0.20320649       2.1386085       0.0000000       0.0000000      -24.542210      -2.6654065    
   1.3800000      0.63140678      0.70258188      0.20248643       2.1378162       0.0000000       0.0000000      -24.508827      -2.6278551    
   1.3900000      0.62850589      0.69928545      0.20176892       2.1371386       0.0000000       0.0000000      -24.475973      -2.5913134    
   1.4000000      0.62563330      0.69658267      0.20105393       2.1363397       0.0000000       0.0000000      -24.443110      -2.5547717    
   1.4100000      0.62280226      0.69363874      0.20034148       2.1356609       0.0000000       0.0000000      -24.410767      -2.5184264    
   1.4200000      0.61999840      0.69072282      0.19963157       2.1348636       0.0000000       0.0000000      -24.378424      -2.4820812    
   1.4299999      0.61723495      0.68784678      0.19892415       2.1341867       0.0000000       0.0000000      -24.346567      -2.4472952    
   1.4399999      0.61449772      0.68472922      0.19821927       2.1333947       0.0000000       0.0000000      -24.314713      -2.4125087    
   1.4499999      0.61179948      0.68192136      0.19751687       2.1327188       0.0000000       0.0000000      -24.283350      -2.3794024    
   1.4599999      0.60912645      0.67913955      0.19681695       2.1319308       0.0000000       0.0000000      -24.251982      -2.3462961    
   1.4699999      0.60649055      0.67639446      0.19611955       2.1312540       0.0000000       0.0000000      -24.221081      -2.3148203    
   1.4800000      0.60387903      0.67341596      0.19542457       2.1304679       0.0000000       0.0000000      -24.190182      -2.2833445    
   1.4900000      0.60130352      0.67073405      0.19473207       2.1297889       0.0000000       0.0000000      -24.159744      -2.2529106    
   1.5000000      0.59875143      0.66833013      0.19404203       2.1290038       0.0000000       0.0000000      -24.129299      -2.2224765    
   1.5100000      0.59623438      0.66570461      0.19335444       2.1283259       0.0000000       0.0000000      -24.099304      -2.1924403    
   1.5200000      0.59373999      0.66285360      0.19266927       2.1275451       0.0000000       0.0000000      -24.069313      -2.1624041    
   1.5300000      0.59127927      0.66028720      0.19198653       2.1268754       0.0000000       0.0000000      -24.039747      -2.1331794    
   1.5400000      0.58884043      0.65774345      0.19130623       2.1261053       0.0000000       0.0000000      -24.010181      -2.1039543    
   1.5500000      0.58643377      0.65523160      0.19062832       2.1254425       0.0000000       0.0000000      -23.981035      -2.0760770    
   1.5599999      0.58404827      0.65274155      0.18995284       2.1246817       0.0000000       0.0000000      -23.951889      -2.0481994    
   1.5699999      0.58169407      0.65004450      0.18927972       2.1240249       0.0000000       0.0000000      -23.923153      -2.0214736    
   1.5799999      0.57936025      0.64784467      0.18860900       2.1232724       0.0000000       0.0000000      -23.894419      -1.9947478    
   1.5899999      0.57705688      0.64543682      0.18794066       2.1226203       0.0000000       0.0000000      -23.866087      -1.9691700    
   1.5999999      0.57477325      0.64281780      0.18727468       2.1218753       0.0000000       0.0000000      -23.837746      -1.9435922    
